MinPr,NumberofTables,NumberofColumns,Hristidis,Score
0.0013428784202560839,2.0,2.0,2.215431953455756E-4,5.0
0.0013428784202560839,2.0,3.0,1.4721534023388316E-4,5.0
0.0013428784202560839,2.0,2.0,3.90238685070793E-4,5.0
0.0013428784202560839,2.0,2.0,3.8951850007604215E-4,5.0
0.0013428784202560839,3.0,3.0,1.2631474066740893E-4,5.0
0.0013428784202560839,3.0,3.0,1.2631474066740893E-4,5.0
0.0013428784202560839,3.0,3.0,1.2599465844751964E-4,5.0
0.004515365241914376,3.0,3.0,1.2631474066740893E-4,5.0
0.003486321939863324,3.0,3.0,1.2599465844751964E-4,5.0
0.0013428784202560839,2.0,2.0,4.529036562268875E-4,5.0
0.0013428784202560839,2.0,2.0,3.4687313765776457E-4,5.0
0.002495494542708103,2.0,2.0,3.4687313765776457E-4,5.0
0.004515365241914376,2.0,2.0,1.1551267677645266E-4,5.0
0.003486321939863324,2.0,3.0,7.652832785446787E-5,5.0
0.002495494542708103,2.0,2.0,1.7817764793254715E-4,5.0
0.004515365241914376,2.0,2.0,1.7817764793254715E-4,5.0
0.003486321939863324,2.0,2.0,1.7745746293779628E-4,5.0
0.002495494542708103,1.0,1.0,9.633704763545665E-4,5.0
